Serial,Name,Fl,Birth,Death,Inventory,ScienceField,Index,Duplicate,BirthCountry,WorkCountry,Ethnicity,Woman,No. of Inventories
30553,Empedocles,-452,-492,-432,Phil.West,,5.75,1,Anc Greece,Anc Greece,Ancient Greek,0,2
2553,"Encke, Johann ",1831,1791,1865,Science,Astr,10.01,0,Germany,Germany,Germanic,0,
2554,"Enders, John ",1937,1897,1985,Science,Medi,11.89,0,USA,USA,USA,0,
40742,"Enescu, George",1921,1881,1955,Music.West,,2.19,0,Balkans,France,Romanian,0,
30555,"Engles, Friedrich",1860,1820,1895,Phil.West,,8.91,0,Germany,Britain,Germanic,0,
13316,"Ennius, Quintus ",-199,-239,-169,Lit.West,,5.69,0,Rome,Rome,Ancient Roman,0,
20856,"Ensor, James",1900,1860,1949,Art.West,,7.48,0,Belgium,Belgium,Flemish,0,
2568,"Eötvös, Roland",1888,1848,1919,Science,Phys,5.87,0,Hungary,Hungary,Hungarian,0,
30559,Epictetus,90,50,125,Phil.West,,5.25,0,Anc Greece,Anc Greece,Ancient Greek,0,
30560,Epicurus of Samos,-301,-341,-270,Phil.West,,10.48,0,Anc Greece,Anc Greece,Ancient Greek,0,
20861,"Epstein, Jacob",1920,1880,1959,Art.West,,1.35,0,USA,Britain,Jewish,0,
2574,Erasistratus,-280,,,Science,Biol,19.96,0,Anc Greece,Anc Greece,Ancient Greek,0,
11425,Erasmus,1506,1466,1536,Lit.West,,19.26,0,Netherlands,Netherlands,Dutch,0,
